,file,speaker,sex,age,nationality,level,code,type,ref,ans,rec,count,C,S,I,D,error,per
958,0171950,0771,M,2,Chinese,B,RS056,S,이것 좀 드세요,I G EO t J O M D EU S E iO,I G E t J O M D EU S EO iO,"Counter({'C': 10, 'S': 2})",10,2,0,0,"substitution of < EO > to < E >, substitution of < E > to < EO >",0.0625
959,0171951,0771,M,2,Chinese,B,RS057,S,잘 하는 짓이다,J A L A N EU N J I S I D A,J A L A N EU N J I S I D A J I S I D A,"Counter({'C': 13, 'I': 6})",13,0,6,0,"insertion of < J >, insertion of < I >, insertion of < S >, insertion of < I >, insertion of < D >, insertion of < A >",0.25
960,0171952,0771,M,2,Chinese,B,RS058,S,미안 길이 막혀 늦었어,M I A N G I R I M A Kh iEO N EU J EO SS EO,M I A N G I R I M A Kh iEO N EU N EU J EO SS EO,"Counter({'C': 18, 'I': 2})",18,0,2,0,"insertion of < N >, insertion of < EU >",0.08333333333333333
961,0171969,0771,M,2,Chinese,B,RS063,S,그렇게 힘든 일을 누가 하겠어요,G EU R EO Kh E H I M D EU N I R EU L N U G A A G E SS EO iO,G EU R EO Kh E H I M D EU N I R EU L N U G A A G E E SS EO iO,"Counter({'C': 26, 'I': 1})",26,0,1,0,insertion of < E >,0.027972027972027972
962,0171711,0771,M,2,Chinese,B,RW022,W,꼬리,GG O R I,G O N I,"Counter({'S': 2, 'C': 2})",2,2,0,0,"substitution of < GG > to < G >, substitution of < R > to < N >",0.14285714285714285
963,0171726,0771,M,2,Chinese,B,RW028,W,찌다,J I D A,J I D A p,"Counter({'C': 4, 'I': 1})",4,0,1,0,insertion of < p >,0.2
964,0171738,0771,M,2,Chinese,B,RW035,W,다음,D A EU M,D A,"Counter({'C': 2, 'D': 2})",2,0,0,2,"deletion of < EU >, deletion of < M >",0.47619047619047616
965,0171751,0771,M,2,Chinese,B,RW041,W,두부,D U B U,B U M G I,"Counter({'S': 3, 'C': 1, 'I': 1})",1,3,1,0,"substitution of < D > to < B >, insertion of < M >, substitution of < B > to < G >, substitution of < U > to < I >",0.28
966,0171765,0771,M,2,Chinese,B,RW046,W,부부,B U B U,G A D I,Counter({'S': 4}),0,4,0,0,"substitution of < B > to < G >, substitution of < U > to < A >, substitution of < B > to < D >, substitution of < U > to < I >",0.2
967,0171781,0771,M,2,Chinese,B,RW053,W,중국,J U NG G U k,J U NG G O,"Counter({'C': 4, 'D': 1, 'S': 1})",4,1,0,1,"deletion of < U >, substitution of < k > to < O >",0.16129032258064516
968,0171819,0771,M,2,Chinese,B,RW082,W,정말,J EO NG M A L,J EO NG M A R,"Counter({'C': 5, 'S': 1})",5,1,0,0,substitution of < L > to < R >,0.03125
969,0171820,0771,M,2,Chinese,B,RW083,W,간장,G A N J A NG,G A N J EO NG,"Counter({'C': 5, 'S': 1})",5,1,0,0,substitution of < A > to < EO >,0.09375
970,0171828,0771,M,2,Chinese,B,RW090,W,약국,iA k GG U k,iA G I,"Counter({'D': 2, 'S': 2, 'C': 1})",1,2,0,2,"deletion of < k >, deletion of < GG >, substitution of < U > to < G >, substitution of < k > to < I >",0.4074074074074074
971,0171831,0771,M,2,Chinese,B,RW091,W,부엌,B U EO Kh,DD O N,"Counter({'S': 3, 'D': 1})",0,3,0,1,"deletion of < B >, substitution of < U > to < DD >, substitution of < EO > to < O >, substitution of < Kh > to < N >",0.5
972,0171851,0771,M,2,Chinese,B,RW106,W,입구,I p GG U,I M CHh I,"Counter({'S': 3, 'C': 1})",1,3,0,0,"substitution of < p > to < M >, substitution of < GG > to < CHh >, substitution of < U > to < I >",0.2727272727272727
973,0171853,0771,M,2,Chinese,B,RW108,W,폭발,Ph O k BB A L,O k BB A L,"Counter({'C': 5, 'D': 1})",5,0,0,1,deletion of < Ph >,0.21212121212121213
974,0171860,0771,M,2,Chinese,B,RW113,W,발등,B A L D EU NG,B U Kh E,"Counter({'S': 3, 'D': 2, 'C': 1})",1,3,0,2,"deletion of < A >, deletion of < L >, substitution of < D > to < U >, substitution of < EU > to < Kh >, substitution of < NG > to < E >",0.40625
975,0171861,0771,M,2,Chinese,B,RW114,W,끝이,GG EU Th I,G EU M Th I,"Counter({'C': 3, 'S': 1, 'I': 1})",3,1,1,0,"substitution of < GG > to < G >, insertion of < M >",0.21428571428571427
976,0171878,0771,M,2,Chinese,B,RW125,W,흙마루,H EU NG M A R U,B U M O N I,"Counter({'S': 5, 'D': 1, 'C': 1})",1,5,0,1,"deletion of < H >, substitution of < EU > to < B >, substitution of < NG > to < U >, substitution of < A > to < O >, substitution of < R > to < N >, substitution of < U > to < I >",0.2702702702702703
977,0171882,0771,M,2,Chinese,B,RW128,W,궁리,G U NG N I,G U R I,"Counter({'C': 3, 'D': 1, 'S': 1})",3,1,0,1,"deletion of < NG >, substitution of < N > to < R >",0.23076923076923078
978,0171883,0771,M,2,Chinese,B,RW129,W,맥락,M E NG N A k,M E NG N A k M E NG N k,"Counter({'C': 6, 'I': 5})",6,0,5,0,"insertion of < k >, insertion of < M >, insertion of < E >, insertion of < NG >, insertion of < N >",0.3684210526315789
979,0171888,0771,M,2,Chinese,B,RW133,W,한국어,H A N G U G EO,H A N G U,"Counter({'C': 5, 'D': 2})",5,0,0,2,"deletion of < G >, deletion of < EO >",0.2777777777777778
980,0171907,0771,M,2,Chinese,B,RW149,W,넣어요,N EO EO iO,N EO J A iO,"Counter({'C': 3, 'I': 1, 'S': 1})",3,1,1,0,"insertion of < J >, substitution of < EO > to < A >",0.25
1060,0189689,0848,F,1,Chinese,B,RS005,S,여권 사진을 찍어야 되는데 어디에서 찍으면 좋을까요,iEO G uEO N S A J I N EU L JJ I G EO iA D OE N EU N D E EO D I E S EO JJ I G EU M iEO N J O EU L GG A iO,iEO G uEO N S A J I N JJ I G EO iA D OE N EU N D E EO D I E S EO JJ I G EU M iEO N J O EU L GG A iO,"Counter({'C': 41, 'D': 2})",41,0,0,2,"deletion of < EU >, deletion of < L >",0.038461538461538464
1061,0189696,0848,F,1,Chinese,B,RS007,S,금요일이 좋아요 일요일이 좋아요,G EU M iO I R I J O A iO I R iO I R I J O A iO,G EU M iO I J O A iO I R iO R I J O A iO,"Counter({'C': 18, 'D': 3})",18,0,0,3,"deletion of < I >, deletion of < R >, deletion of < I >",0.10909090909090909
1062,0189701,0848,F,1,Chinese,B,RS009,S,등록금에 수업료가 포함돼요,D EU NG N O k GG EU M E S U EO M N iO G A Ph O A M D OE iO,D EU NG N O k GG EU M E S U N iEO G EU M Ph O A M D OE iO,"Counter({'C': 21, 'D': 2, 'S': 2, 'I': 1})",21,2,1,2,"deletion of < EO >, deletion of < M >, substitution of < iO > to < iEO >, insertion of < EU >, substitution of < A > to < M >",0.1276595744680851
1063,0189703,0848,F,1,Chinese,B,RS010,S,퇴근시간이라서 길이 많이 막히나 봐요,Th OE G EU N S I G A N I R A S EO G I R I M A N I M A Kh I N A B oA iO,Th OE G EU N S I G A N I R A S EO G I R I M A N I Kh I M A Kh I N A B oA iO,"Counter({'C': 32, 'I': 2})",32,0,2,0,"insertion of < I >, insertion of < Kh >",0.05056179775280899
1064,0189710,0848,F,1,Chinese,B,RS012,S,벽에 잘 붙어 있도록 잘 붙이세요,B iEO G E J A L B U Th EO I t DD O R O k J A L B U Th I S E iO,B iEO G E J A L B U Th EO I I t DD O R O k J A L B U Th EO N I S E iO,"Counter({'C': 28, 'I': 3})",28,0,3,0,"insertion of < I >, insertion of < EO >, insertion of < N >",0.07975460122699386
1065,0189712,0848,F,1,Chinese,B,RS013,S,오늘 그 가게 문 안 열었어요,O N EU L G EU G A G E M U N A N iEO R EO SS EO iO,O N EU L G EU G A G E M U N A N iEO iEO R EO SS EO iO,"Counter({'C': 21, 'I': 1})",21,0,1,0,insertion of < iEO >,0.05
1066,0189716,0848,F,1,Chinese,B,RS015,S,지금 막 나갔는데 못 보셨어요,J I G EU M M A k N A G A N N EU N D E M O t B O S iEO SS EO iO,J I G EU M M A k N A k G A N N EU N D E M O t B O S iEO SS EO iO,"Counter({'C': 28, 'I': 1})",28,0,1,0,insertion of < k >,0.02631578947368421
1067,0189731,0848,F,1,Chinese,B,RS020,S,아버지와 어머니 중에서 누구하고 닮았어요,A B EO J I oA EO M EO N I J U NG E S EO N U G U A G O D A L M A SS EO iO,A B EO A B EO J I oA EO M EO N I J U NG E S EO N U G U A G O D A NG M A SS EO iO,"Counter({'C': 31, 'I': 3, 'S': 1})",31,1,3,0,"insertion of < A >, insertion of < B >, insertion of < EO >, substitution of < L > to < NG >",0.08602150537634409
1068,0189738,0848,F,1,Chinese,B,RS023,S,주말에 별일 없으면 우리 집에 와서 밥 같이 먹어요,J U M A R E B iEO R I N EO p SS EU M iEO N U R I J I B E oA S EO B A p G A Th I M EO G EO iO,J U M A R E B iEO R I N N EO p SS EU M iEO N U R I J I B E oA S EO B A p G A Th I M EO G EO iO,"Counter({'C': 40, 'I': 1})",40,0,1,0,insertion of < N >,0.01834862385321101
1069,0189743,0848,F,1,Chinese,B,RS025,S,잘 못 들었는데 지금 뭐라고 하셨어요,J A L M O t D EU R EO N N EU N D E J I G EU M M uEO R A G O H A S iEO SS EO iO,J A L M O t D EU R EO N N EU N D E J I G EU M M uEO R A G O S iEO SS EO iO,"Counter({'C': 32, 'D': 2})",32,0,0,2,"deletion of < H >, deletion of < A >",0.04419889502762431
1070,0189780,0848,F,1,Chinese,B,RS061,S,이게 다 니 책임이야,I G E D A N I CHh E G I M I iA,iEO G E D A N I CHh E G I M I iA,"Counter({'C': 13, 'S': 1})",13,1,0,0,substitution of < I > to < iEO >,0.06666666666666667
1071,0189785,0848,F,1,Chinese,B,RS063,S,그렇게 힘든 일을 누가 하겠어요,G EU R EO Kh E H I M D EU N I R EU L N U G A A G E SS EO iO,G EU R EO Kh E H I M D EU N I R EU L N U G A A L G E iO,"Counter({'C': 24, 'D': 2, 'I': 1})",24,0,1,2,"insertion of < L >, deletion of < SS >, deletion of < EO >",0.0979020979020979
1072,0189791,0848,F,1,Chinese,B,RS066,S,나 집에 갈까,N A J I B E G A L GG A,N A J I B E G A L L A,"Counter({'C': 10, 'S': 1})",10,1,0,0,substitution of < GG > to < L >,0.05357142857142857
1073,0189809,0848,F,1,Chinese,B,RS071,S,오늘은 지하철 타고 가자,O N EU R EU N J I A CHh EO L Th A G O G A J A,O N EU N J I A CHh EO L Th A G O G A J A,"Counter({'C': 18, 'D': 2})",18,0,0,2,"deletion of < EU >, deletion of < R >",0.08490566037735849
1074,0189811,0848,F,1,Chinese,B,RS072,S,수업 아직 안 끝났을걸,S U EO M A J I k A N GG EU N N A SS EU L G EO L,S U EO M A J I k A N N GG E N N A L SS EU L GG A L,"Counter({'C': 18, 'S': 3, 'I': 2})",18,3,2,0,"insertion of < N >, substitution of < EU > to < E >, insertion of < L >, substitution of < G > to < GG >, substitution of < EO > to < A >",0.12295081967213115
1075,0189815,0848,F,1,Chinese,B,RS073,S,참 잘 했구나,CHh A M J A L H E t GG U N A,CHh A M M J A L H E t GG U N A,"Counter({'C': 13, 'I': 1})",13,0,1,0,insertion of < M >,0.0547945205479452
1076,0189822,0848,F,1,Chinese,B,RS075,S,아이스크림 녹기 전에 빨리 먹을걸,A I S EU Kh EU R I M N O k GG I J EO N E BB A L L I M EO G EU L G EO R,A I S EU Kh EU R I M N O k GG EU I J EO N E BB A L L I M EO G EU L G EO R,"Counter({'C': 31, 'I': 1})",31,0,1,0,insertion of < EU >,0.029411764705882353
1077,0189129,0848,F,1,Chinese,B,RW004,W,싱싱하다,S I NG S I NG H A D A,S I NG JJ I NG H A D A,"Counter({'C': 9, 'S': 1})",9,1,0,0,substitution of < S > to < JJ >,0.05660377358490566
1078,0189154,0848,F,1,Chinese,B,RW007,W,글씨,G EU L SS I,G EU L SS I k,"Counter({'C': 5, 'I': 1})",5,0,1,0,insertion of < k >,0.15625
1079,0189270,0848,F,1,Chinese,B,RW041,W,두부,D U B U,J U M G U,"Counter({'S': 2, 'C': 2, 'I': 1})",2,2,1,0,"substitution of < D > to < J >, insertion of < M >, substitution of < B > to < G >",0.24
1080,0189275,0848,F,1,Chinese,B,RW044,W,조사,J O S A,J O N S A,"Counter({'C': 4, 'I': 1})",4,0,1,0,insertion of < N >,0.16
1081,0189300,0848,F,1,Chinese,B,RW053,W,중국,J U NG G U k,J EO L M G O,"Counter({'S': 5, 'C': 1})",1,5,0,0,"substitution of < U > to < EO >, substitution of < NG > to < L >, substitution of < G > to < M >, substitution of < U > to < G >, substitution of < k > to < O >",0.3783783783783784
1082,0189306,0848,F,1,Chinese,B,RW055,W,그림,G EU R I M,G EU NG M I M,"Counter({'C': 4, 'I': 1, 'S': 1})",4,1,1,0,"insertion of < NG >, substitution of < R > to < M >",0.1875
1083,0189377,0848,F,1,Chinese,B,RW069,W,웬,OE N,OE,"Counter({'C': 1, 'D': 1})",1,0,0,1,deletion of < N >,0.45454545454545453
1084,0189433,0848,F,1,Chinese,B,RW079,W,퇴근,Th OE G EU N,Th OE G EU,"Counter({'C': 4, 'D': 1})",4,0,0,1,deletion of < N >,0.25
1085,0189435,0848,F,1,Chinese,B,RW080,W,감기,G A M G I,G A N J I G I,"Counter({'C': 4, 'I': 2, 'S': 1})",4,1,2,0,"insertion of < N >, insertion of < J >, substitution of < M > to < I >",0.2571428571428571
1086,0189468,0848,F,1,Chinese,B,RW090,W,약국,iA k GG U k,iA G U k,"Counter({'C': 3, 'D': 1, 'S': 1})",3,1,0,1,"deletion of < k >, substitution of < GG > to < G >",0.2222222222222222
1087,0189485,0848,F,1,Chinese,B,RW094,W,입,I p,O N,Counter({'S': 2}),0,2,0,0,"substitution of < I > to < O >, substitution of < p > to < N >",0.2
1088,0189487,0848,F,1,Chinese,B,RW095,W,무릎,M U R EU p,B U B U,"Counter({'S': 3, 'C': 1, 'D': 1})",1,3,0,1,"substitution of < M > to < B >, deletion of < R >, substitution of < EU > to < B >, substitution of < p > to < U >",0.34615384615384615
1089,0189497,0848,F,1,Chinese,B,RW098,W,좋다,J O Th A,J O NG M A L,"Counter({'C': 3, 'I': 2, 'S': 1})",3,1,2,0,"insertion of < NG >, substitution of < Th > to < M >, insertion of < L >",0.40625
1090,0189529,0848,F,1,Chinese,B,RW108,W,폭발,Ph O k BB A L,B O B iEO,"Counter({'S': 3, 'D': 2, 'C': 1})",1,3,0,2,"substitution of < Ph > to < B >, deletion of < k >, deletion of < BB >, substitution of < A > to < B >, substitution of < L > to < iEO >",0.5
1091,0189538,0848,F,1,Chinese,B,RW110,W,접수,J EO p SS U,J I,"Counter({'D': 3, 'C': 1, 'S': 1})",1,1,0,3,"deletion of < EO >, deletion of < p >, deletion of < SS >, substitution of < U > to < I >",0.5555555555555556
1092,0189545,0848,F,1,Chinese,B,RW112,W,염증,iEO M J EU NG,M iEO M J EU NG,"Counter({'C': 5, 'I': 1})",5,0,1,0,insertion of < M >,0.20689655172413793
1093,0189558,0848,F,1,Chinese,B,RW116,W,해돋이,H E D O D I,H A D O M D I,"Counter({'C': 5, 'S': 1, 'I': 1})",5,1,1,0,"substitution of < E > to < A >, insertion of < M >",0.14285714285714285
1094,0189639,0848,F,1,Chinese,B,RW140,W,물이,M U R I,M U N euI,"Counter({'C': 2, 'S': 2})",2,2,0,0,"substitution of < R > to < N >, substitution of < I > to < euI >",0.15
1095,0189643,0848,F,1,Chinese,B,RW142,W,빛을,B I CHh EU L,Ph iEO J I,"Counter({'S': 4, 'D': 1})",0,4,0,1,"deletion of < B >, substitution of < I > to < Ph >, substitution of < CHh > to < iEO >, substitution of < EU > to < J >, substitution of < L > to < I >",0.5
1244,0221513,0962,F,99,Chinese,A,RS026,S,내가 먹던 라면이 어디로 갔지,N E G A M EO k DD EO N R A M iEO N I EO D I R O G A t JJ I,N E G A M EO k DD EO N R A M iEO N I D I R O G A t JJ I,"Counter({'C': 25, 'D': 1})",25,0,0,1,deletion of < EO >,0.0364963503649635
1245,0221503,0962,F,99,Chinese,A,RS028,S,좋은 의견이 있으시면 의견란에 꼭 써 주시기 바랍니다,J O EU N euI G iEO N I I S EU S I M iEO N euI G iEO N N A N E GG O k SS EO J U S I G I B A R A M N I D A,J O EU N euI G iEO N I I S EU S I M iEO N euI G iEO k A N E GG O k SS EO J U S I I B A R A M N I D,"Counter({'C': 41, 'D': 3, 'S': 1})",41,1,0,3,"deletion of < N >, substitution of < N > to < k >, deletion of < G >, deletion of < A >",0.058333333333333334
1246,0221495,0962,F,99,Chinese,A,RS029,S,물이 팔팔 끓는데 왜 불을 안 끄고 가만히 있어요,M U R I Ph A L Ph A L G EU N N EU N D E OE B U R EU L A N G EU G O G A M A N I I SS EO iO,M U R I Ph A L Ph A L G EU N N EU N D E OE B U R EU N A N G EU G O G A M A N I I SS EO,"Counter({'C': 38, 'S': 1, 'D': 1})",38,1,0,1,"substitution of < L > to < N >, deletion of < iO >",0.03333333333333333
1247,0221490,0962,F,99,Chinese,A,RS030,S,웬일로 여기까지 직접 오셨어요,OE N I L L O iEO G I GG A J I J I k JJ EO p O S iEO SS EO iO,OE G I M O iEO G I GG A J I J I JJ EO p O S iEO SS EO iO,"Counter({'C': 21, 'S': 2, 'D': 2})",21,2,0,2,"substitution of < N > to < G >, deletion of < L >, substitution of < L > to < M >, deletion of < k >",0.07352941176470588
1248,0221465,0962,F,99,Chinese,A,RS031,S,자연스럽게 전통을 이어나가는 것이 바람직하지 않을까 싶습니다,J A iEO N S EU R EO p GG E J EO N Th O NG EU L I EO N A G A N EU N G EO S I B A R A M J I Kh A J I A N EU L GG A S I p SS EU M N I D A,J A iEO N S EU R EO p GG E J EO N Th O NG EU L I EO N A G A N EU N G EO S I B A R A M J I A G I A L GG A S I p SS EU M N I D A,"Counter({'C': 55, 'D': 3, 'S': 1})",55,1,0,3,"deletion of < Kh >, substitution of < J > to < G >, deletion of < N >, deletion of < EU >",0.04807692307692308
1249,0221441,0962,F,99,Chinese,A,RS032,S,이렇게 하는 게 좋겠어요 저렇게 하는 게 좋겠어요,I R EO Kh E A N EU N G E J O Kh E SS EO iO J EO R EO Kh E A N EU N G E J O Kh E SS EO iO,I R EO Kh E A N EU N G EO J O Kh E SS EO iO J EO R EO Kh E A N EU N G EO J O Kh E SS EO iO,"Counter({'C': 35, 'S': 2})",35,2,0,0,"substitution of < E > to < EO >, substitution of < E > to < EO >",0.019801980198019802
1250,0221530,0962,F,99,Chinese,A,RS036,S,불만이 있으면 직접 가서 말해 봐,B U L M A N I I SS EU M iEO N J I k JJ EO p G A S EO M A R H E B oA,B U L M A N I I SS EU M iEO N J I k JJ EO p G A S EO M A R A B oA,"Counter({'C': 28, 'D': 1, 'S': 1})",28,1,0,1,"deletion of < H >, substitution of < E > to < A >",0.03164556962025317
1251,0221536,0962,F,99,Chinese,A,RS037,S,합법적으로 인정된 일이라면 해도 좋지,H A p BB EO p JJ EO G EU R O I N J EO NG D OE N I R I R A M iEO N H E D O J O CHh I,H A p BB EO p JJ EO G EU R O I N J EO D OE N I R I R I R A M iEO N H E D O J,"Counter({'C': 32, 'D': 4, 'I': 2})",32,0,2,4,"deletion of < NG >, insertion of < I >, insertion of < R >, deletion of < O >, deletion of < CHh >, deletion of < I >",0.13861386138613863
1252,0221546,0962,F,99,Chinese,A,RS039,S,사람이 이렇게 많을 줄 몰랐는데 정말 대단하네요,S A R A M I I R EO Kh E M A N EU L J U L M O L L A N N EU N D E J EO NG M A L D E D A N A N E iO,S A R A M I I I R EO Kh E M A N EU L J U L M O L L A N N EU N D E J EO NG M A L D E D A N A N E iO,"Counter({'C': 45, 'I': 1})",45,0,1,0,insertion of < I >,0.016877637130801686
1253,0221550,0962,F,99,Chinese,A,RS040,S,이렇게 감사의 말씀을 전할 수 있을 정도로 성장했습니다,I R EO Kh E G A M S A euI M A L SS EU M EU L J EO N A L S U I SS EU L J EO NG D O R O S EO NG J A NG H E S SS EU M N I D A,I R EO Kh E G A M S A euI M A L SS EU M EU L J EO N A L S U I SS EU L J EO NG D O R O J EO NG S A NG H E S SS EU M,"Counter({'C': 47, 'D': 4, 'S': 2})",47,2,0,4,"substitution of < S > to < J >, substitution of < J > to < S >, deletion of < N >, deletion of < I >, deletion of < D >, deletion of < A >",0.0673758865248227
1254,0221556,0962,F,99,Chinese,A,RS041,S,쉽지 않겠지만 결정은 빠를수록 좋습니다,S UI p JJ I A N Kh E t JJ I M A N G iEO L J EO NG EU N B A R EU L S U R O k J O SS EU M N I D A,S UI p JJ I A N Kh E t JJ I M A N G iEO L J EO NG EU N B A R EU L S U R O L J O SS EU M N I,"Counter({'C': 39, 'D': 2, 'S': 1})",39,1,0,2,"substitution of < k > to < L >, deletion of < D >, deletion of < A >",0.04504504504504504
1255,0221559,0962,F,99,Chinese,A,RS042,S,이 업무에 적합한 사람이 있으면 언제든지 말씀해 주세요,I EO M M OE J EO Kh A Ph A N S A R A M I I SS EU M iEO N EO N J E D EU N J I M A L SS EU M H E J U S E iO,I EO M M OE L J EO Kh A Ph A N S A R A M I I SS EU M iEO N EO N J E D EU N J I M A L SS EU M H E J U S E iO,"Counter({'C': 46, 'I': 1})",46,0,1,0,insertion of < L >,0.01606425702811245
1256,0221568,0962,F,99,Chinese,A,RS043,S,은행이 이렇게 문을 일찍 닫는 걸 알았다면 서둘렀을 텐데요,EU N E NG I I R EO Kh E M U N EU L I L JJ I k D A N N EU N G EO L A R A t DD A M iEO N S EO D U L L EO SS EU L Th E N D E iO,EU N E I N I R EO Kh E M U N EU L I L JJ I k D A N N EU N G EO L A A DD A M iEO N S EO D U L D,"Counter({'C': 40, 'D': 12, 'S': 2})",40,2,0,12,"substitution of < NG > to < I >, substitution of < I > to < N >, deletion of < R >, deletion of < t >, deletion of < L >, deletion of < L >, deletion of < EO >, deletion of < SS >, deletion of < EU >, deletion of < Th >, deletion of < E >, deletion of < N >, deletion of < E >, deletion of < iO >",0.21575342465753425
1257,0221574,0962,F,99,Chinese,A,RS044,S,권력과 공권력의 차이점이 뭔지 아세요,G uEO N N iEO k GG oA G O NG G uEO N N iEO G euI CHh A I J EO M I M uEO N J I A S E iO,G uEO N N iEO k GG oA G O G uEO N N iEO G euI CHh A I J EO N I A iO,"Counter({'C': 26, 'D': 8})",26,0,0,8,"deletion of < NG >, deletion of < M >, deletion of < I >, deletion of < M >, deletion of < uEO >, deletion of < J >, deletion of < S >, deletion of < E >",0.18518518518518517
1258,0221583,0962,F,99,Chinese,A,RS045,S,뒷일은 나중에 생각하고 급한 불부터 끕시다,D UI S I R EU N N A J U NG E S E NG G A Kh A G O G EU Ph A N B U L B U Th EO G EU p SS I D A,D UI R EU N N A J U NG E S E NG G A Kh A G O G U B A N D D A,"Counter({'C': 25, 'D': 13, 'S': 3})",25,3,0,13,"deletion of < S >, deletion of < I >, deletion of < EU >, deletion of < Ph >, deletion of < A >, deletion of < N >, deletion of < B >, deletion of < L >, deletion of < U >, deletion of < Th >, deletion of < EO >, deletion of < G >, deletion of < EU >, substitution of < p > to < A >, substitution of < SS > to < N >, substitution of < I > to < D >",0.2916666666666667
1259,0221670,0962,F,99,Chinese,A,RS046,S,오늘 걷힌 돈은 모두 기부금으로 사용하는 게 어때요,O N EU L G EO Th I N D O N EU N M O D U G I B U G EU M EU R O S A iO NG H A N EU N G E EO DD E iO,O N EU L G EO Th I N D O N EU N M O D U G I B U G EU M EU R O S A iO NG H A N EU N G E DD E iO,"Counter({'C': 42, 'D': 1})",42,0,0,1,deletion of < EO >,0.022026431718061675
1260,0221654,0962,F,99,Chinese,A,RS048,S,핵심이 무엇인지 파악하지 못한다면 내용을 잘 이해하기 힘들 거야,H E k SS I M I M U EO S I N J I Ph A A Kh A J I M O Th A N D A M iEO N N E iO NG EU L J A L I E A G I H I M D EU L G EO iA,H E k SS I M M I M U EO S I N J I Ph A Kh A G I M U Th A N D A M iEO N N E iO NG EU L J A L I I E iA,"Counter({'C': 41, 'D': 11, 'S': 3, 'I': 1})",41,3,1,11,"insertion of < M >, deletion of < A >, substitution of < J > to < G >, substitution of < O > to < U >, deletion of < I >, deletion of < E >, deletion of < A >, deletion of < G >, deletion of < H >, deletion of < M >, deletion of < D >, deletion of < EU >, deletion of < L >, deletion of < G >, substitution of < EO > to < E >",0.18088737201365188
